[_greeting]  15 states  50 arcs
[_can_you]  17 states  30 arcs
[_can_i]  8 states  12 arcs
[_tell_me]  6 states  8 arcs
[_courtesy]  9 states  17 arcs
[_it]  4 states  7 arcs
[_lets]  5 states  7 arcs
[_that_is]  5 states  10 arcs
[_this_that]  2 states  2 arcs
[_that]  3 states  4 arcs
[_this]  3 states  5 arcs
[_emphatic]  7 states  11 arcs
[_tentative]  5 states  6 arcs
[_it_does]  4 states  4 arcs
[_i_want]  96 states  197 arcs
[Help]  6 states  12 arcs
[general_help]  9 states  15 arcs
[what_can_i_say]  23 states  43 arcs
[give_me_tips]  17 states  36 arcs
[system_capabilities]  26 states  39 arcs
[Repeat]  36 states  67 arcs
[Suspend]  76 states  176 arcs
[Resume]  6 states  13 arcs
[StartOver]  24 states  62 arcs
[EstablishContext]  20 states  26 arcs
[GoodEnough]  4 states  5 arcs
[Quit]  43 states  93 arcs
[Neither]  25 states  42 arcs
[Yes]  63 states  224 arcs
[No]  46 states  86 arcs
[number]  63 states  1145 arcs
[date_time]  25 states  53 arcs
[date]  85 states  233 arcs
[day_of_month]  2 states  5 arcs
[everyday]  6 states  13 arcs
[each_day]  11 states  28 arcs
[anyday]  13 states  36 arcs
[holiday]  2 states  2 arcs
[holiday_name]  13 states  26 arcs
[holiday_nameday]  9 states  25 arcs
[date_relative]  13 states  43 arcs
[d_this]  2 states  1 arcs
[d_same]  3 states  3 arcs
[d_next]  2 states  3 arcs
[d_previous]  2 states  4 arcs
[date_offset]  2 states  2 arcs
[day_offset]  6 states  9 arcs
[week_offset]  2 states  1 arcs
[weeks_after]  7 states  9 arcs
[days_after]  4 states  6 arcs
[days_prior]  3 states  4 arcs
[month_after]  3 states  4 arcs
[year_after]  4 states  4 arcs
[week_this]  3 states  2 arcs
[week_after]  17 states  30 arcs
[week_prior]  7 states  10 arcs
[day_after]  2 states  3 arcs
[day_prior]  3 states  3 arcs
[time_range]  74 states  230 arcs
[on_day]  33 states  58 arcs
[year]  9 states  40 arcs
[day_number]  4 states  33 arcs
[day_ordinal]  4 states  33 arcs
[month_name]  5 states  18 arcs
[start_time]  2 states  1 arcs
[end_time]  2 states  1 arcs
[time_spec]  3 states  7 arcs
[aprox_time]  33 states  122 arcs
[time]  14 states  34 arcs
[twenty_four]  7 states  10 arcs
[noon]  4 states  6 arcs
[midnight]  2 states  1 arcs
[after]  10 states  23 arcs
[before]  16 states  34 arcs
[quarter]  2 states  1 arcs
[half]  2 states  1 arcs
[minute_rel]  2 states  1 arcs
[minute]  4 states  35 arcs
[time_of_day]  9 states  16 arcs
[hour]  4 states  17 arcs
[day_of_week]  2 states  3 arcs
[day_name]  2 states  21 arcs
[weekend]  2 states  2 arcs
[weekday]  17 states  41 arcs
[today_relative]  3 states  9 arcs
[period_mod]  2 states  3 arcs
[period_of_day]  2 states  10 arcs
[am]  3 states  3 arcs
[pm]  3 states  4 arcs
[morning]  2 states  2 arcs
[afternoon]  3 states  4 arcs
[evening]  2 states  2 arcs
[night]  2 states  2 arcs
[early_day]  16 states  20 arcs
[late_day]  12 states  16 arcs
[mid_day]  9 states  13 arcs
[anytime]  6 states  11 arcs
[early]  3 states  5 arcs
[late]  3 states  5 arcs
[mid]  6 states  8 arcs
[time_relative]  2 states  3 arcs
[now]  7 states  10 arcs
[time_relative_before]  3 states  2 arcs
[time_relative_after]  3 states  2 arcs
[duration]  19 states  40 arcs
[d_half]  2 states  1 arcs
[d_quarter]  2 states  1 arcs
[time_duration]  8 states  16 arcs
[whole_day]  6 states  8 arcs
[DTMF_KEY]  2 states  12 arcs
[DTMF_ZERO]  2 states  1 arcs
[DTMF_ONE]  2 states  1 arcs
[DTMF_TWO]  2 states  1 arcs
[DTMF_THREE]  2 states  1 arcs
[DTMF_FOUR]  2 states  1 arcs
[DTMF_FIVE]  2 states  1 arcs
[DTMF_SIX]  2 states  1 arcs
[DTMF_SEVEN]  2 states  1 arcs
[DTMF_EIGHT]  2 states  1 arcs
[DTMF_NINE]  2 states  1 arcs
[DTMF_POUND]  2 states  1 arcs
[DTMF_STAR]  2 states  1 arcs
[Professor]  7 states  15 arcs
WARNING: compiling net [OfficeQuery] could not find called net [professor]
WARNING: compiling net [OfficeQuery] could not find called net [professor]
WARNING: compiling net [OfficeQuery] could not find called net [professor]
[OfficeQuery]  36 states  52 arcs
[DescriptionQuery]  18 states  23 arcs
[PhoneQuery]  88 states  201 arcs
[EmailQuery]  37 states  83 arcs
[DepartmentQuery]  2 states  1 arcs
[PublicationQuery]  2 states  1 arcs
[ResearchQuery]  2 states  1 arcs
compile_gra> doing Phoenix concept_leaf
